,ethnic origin,baseline_share,min_proba,min_distance,max_entropy,N_samples,sample_share
15,15,0.06225059856344772,0,0.2,1.75,120,0.05258545135845749
16,16,0.05905826017557861,0,0.2,1.75,121,0.053023663453111304
0,0,0.05865921787709497,0,0.3,10,145,0.06487695749440715
1,1,0.05826017557861133,0,0.3,10,145,0.06487695749440715
2,2,0.05746209098164405,0,0.3,10,109,0.04876957494407159
3,3,0.06264964086193137,0,0.3,10,157,0.07024608501118568
4,4,0.06225059856344772,0,0.3,10,108,0.04832214765100671
5,5,0.06424581005586592,0,0.3,10,134,0.059955257270693514
6,6,0.06544293695131684,0,0.3,10,151,0.06756152125279642
7,7,0.057063048683160415,0,0.3,10,148,0.06621923937360179
8,8,0.060654429369513166,0,0.3,10,135,0.06040268456375839
9,9,0.060654429369513166,0,0.3,10,148,0.06621923937360179
10,10,0.05905826017557861,0,0.3,10,145,0.06487695749440715
11,11,0.06025538707102953,0,0.3,10,136,0.060850111856823264
12,12,0.036312849162011177,0,0.3,10,76,0.03400447427293065
13,13,0.057063048683160415,0,0.3,10,119,0.053243847874720356
14,14,0.05865921787709497,0,0.3,10,143,0.06398210290827741
15,15,0.06225059856344772,0,0.3,10,115,0.05145413870246085
16,16,0.05905826017557861,0,0.3,10,121,0.05413870246085011
0,0,0.05865921787709497,0,0.3,2,145,0.06490599820948971
1,1,0.05826017557861133,0,0.3,2,144,0.06445837063563116
2,2,0.05746209098164405,0,0.3,2,109,0.048791405550581916
3,3,0.06264964086193137,0,0.3,2,157,0.0702775290957923
4,4,0.06225059856344772,0,0.3,2,108,0.048343777976723366
5,5,0.06424581005586592,0,0.3,2,134,0.05998209489704566
6,6,0.06544293695131684,0,0.3,2,151,0.067591763652641
7,7,0.057063048683160415,0,0.3,2,148,0.06624888093106536
8,8,0.060654429369513166,0,0.3,2,135,0.06042972247090421
9,9,0.060654429369513166,0,0.3,2,148,0.06624888093106536
10,10,0.05905826017557861,0,0.3,2,145,0.06490599820948971
11,11,0.06025538707102953,0,0.3,2,136,0.06087735004476276
12,12,0.036312849162011177,0,0.3,2,76,0.03401969561324977
13,13,0.057063048683160415,0,0.3,2,119,0.05326768128916741
14,14,0.05865921787709497,0,0.3,2,143,0.06401074306177261
15,15,0.06225059856344772,0,0.3,2,115,0.051477170993733216
16,16,0.05905826017557861,0,0.3,2,121,0.05416293643688451
0,0,0.05865921787709497,0,0.3,1.75,143,0.06450157870996842
1,1,0.05826017557861133,0,0.3,1.75,144,0.06495263870094722
2,2,0.05746209098164405,0,0.3,1.75,107,0.04826341903473162
3,3,0.06264964086193137,0,0.3,1.75,156,0.07036535859269283
4,4,0.06225059856344772,0,0.3,1.75,108,0.04871447902571042
5,5,0.06424581005586592,0,0.3,1.75,132,0.05953991880920163
6,6,0.06544293695131684,0,0.3,1.75,150,0.06765899864682003
7,7,0.057063048683160415,0,0.3,1.75,148,0.06675687866486242
8,8,0.060654429369513166,0,0.3,1.75,134,0.060442038791159225
9,9,0.060654429369513166,0,0.3,1.75,148,0.06675687866486242
10,10,0.05905826017557861,0,0.3,1.75,144,0.06495263870094722
11,11,0.06025538707102953,0,0.3,1.75,135,0.06089309878213803
12,12,0.036312849162011177,0,0.3,1.75,75,0.03382949932341001
13,13,0.057063048683160415,0,0.3,1.75,118,0.053225078935498424
14,14,0.05865921787709497,0,0.3,1.75,141,0.06359945872801083
15,15,0.06225059856344772,0,0.3,1.75,114,0.05142083897158322
16,16,0.05905826017557861,0,0.3,1.75,120,0.05412719891745602
0,0,0.05865921787709497,0,0.4,10,142,0.06604651162790698
1,1,0.05826017557861133,0,0.4,10,137,0.06372093023255813
2,2,0.05746209098164405,0,0.4,10,104,0.04837209302325581
3,3,0.06264964086193137,0,0.4,10,146,0.06790697674418604
4,4,0.06225059856344772,0,0.4,10,105,0.04883720930232558
5,5,0.06424581005586592,0,0.4,10,124,0.05767441860465116
6,6,0.06544293695131684,0,0.4,10,146,0.06790697674418604
7,7,0.057063048683160415,0,0.4,10,146,0.06790697674418604
8,8,0.060654429369513166,0,0.4,10,131,0.060930232558139535
9,9,0.060654429369513166,0,0.4,10,144,0.06697674418604652
10,10,0.05905826017557861,0,0.4,10,143,0.06651162790697675
11,11,0.06025538707102953,0,0.4,10,132,0.061395348837209304
12,12,0.036312849162011177,0,0.4,10,74,0.03441860465116279
13,13,0.057063048683160415,0,0.4,10,112,0.052093023255813956
14,14,0.05865921787709497,0,0.4,10,137,0.06372093023255813
15,15,0.06225059856344772,0,0.4,10,109,0.05069767441860465
16,16,0.05905826017557861,0,0.4,10,118,0.05488372093023256
0,0,0.05865921787709497,0,0.4,2,142,0.06604651162790698
1,1,0.05826017557861133,0,0.4,2,137,0.06372093023255813
2,2,0.05746209098164405,0,0.4,2,104,0.04837209302325581
3,3,0.06264964086193137,0,0.4,2,146,0.06790697674418604
4,4,0.06225059856344772,0,0.4,2,105,0.04883720930232558
5,5,0.06424581005586592,0,0.4,2,124,0.05767441860465116
6,6,0.06544293695131684,0,0.4,2,146,0.06790697674418604
7,7,0.057063048683160415,0,0.4,2,146,0.06790697674418604
8,8,0.060654429369513166,0,0.4,2,131,0.060930232558139535
9,9,0.060654429369513166,0,0.4,2,144,0.06697674418604652
10,10,0.05905826017557861,0,0.4,2,143,0.06651162790697675
11,11,0.06025538707102953,0,0.4,2,132,0.061395348837209304
12,12,0.036312849162011177,0,0.4,2,74,0.03441860465116279
13,13,0.057063048683160415,0,0.4,2,112,0.052093023255813956
14,14,0.05865921787709497,0,0.4,2,137,0.06372093023255813
15,15,0.06225059856344772,0,0.4,2,109,0.05069767441860465
16,16,0.05905826017557861,0,0.4,2,118,0.05488372093023256
0,0,0.05865921787709497,0,0.4,1.75,142,0.06610800744878957
1,1,0.05826017557861133,0,0.4,1.75,137,0.06378026070763501
2,2,0.05746209098164405,0,0.4,1.75,104,0.048417132216014895
3,3,0.06264964086193137,0,0.4,1.75,146,0.06797020484171322
4,4,0.06225059856344772,0,0.4,1.75,105,0.04888268156424581
5,5,0.06424581005586592,0,0.4,1.75,124,0.05772811918063315
6,6,0.06544293695131684,0,0.4,1.75,146,0.06797020484171322
7,7,0.057063048683160415,0,0.4,1.75,146,0.06797020484171322
8,8,0.060654429369513166,0,0.4,1.75,131,0.06098696461824953
9,9,0.060654429369513166,0,0.4,1.75,144,0.0670391061452514
10,10,0.05905826017557861,0,0.4,1.75,142,0.06610800744878957
11,11,0.06025538707102953,0,0.4,1.75,131,0.06098696461824953
12,12,0.036312849162011177,0,0.4,1.75,74,0.03445065176908752
13,13,0.057063048683160415,0,0.4,1.75,112,0.0521415270018622
14,14,0.05865921787709497,0,0.4,1.75,137,0.06378026070763501
15,15,0.06225059856344772,0,0.4,1.75,109,0.05074487895716946
16,16,0.05905826017557861,0,0.4,1.75,118,0.05493482309124767
0,0,0.05865921787709497,0,0.5,10,139,0.06698795180722891
1,1,0.05826017557861133,0,0.5,10,129,0.06216867469879518
2,2,0.05746209098164405,0,0.5,10,98,0.047228915662650604
3,3,0.06264964086193137,0,0.5,10,138,0.06650602409638554
4,4,0.06225059856344772,0,0.5,10,100,0.04819277108433735
5,5,0.06424581005586592,0,0.5,10,120,0.05783132530120482
6,6,0.06544293695131684,0,0.5,10,140,0.06746987951807229
7,7,0.057063048683160415,0,0.5,10,143,0.06891566265060241
8,8,0.060654429369513166,0,0.5,10,128,0.061686746987951804
9,9,0.060654429369513166,0,0.5,10,142,0.06843373493975903
10,10,0.05905826017557861,0,0.5,10,141,0.06795180722891567
11,11,0.06025538707102953,0,0.5,10,126,0.060722891566265064
12,12,0.036312849162011177,0,0.5,10,73,0.03518072289156626
13,13,0.057063048683160415,0,0.5,10,109,0.05253012048192771
14,14,0.05865921787709497,0,0.5,10,132,0.0636144578313253
15,15,0.06225059856344772,0,0.5,10,100,0.04819277108433735
16,16,0.05905826017557861,0,0.5,10,117,0.056385542168674696
0,0,0.05865921787709497,0,0.5,2,139,0.06698795180722891
1,1,0.05826017557861133,0,0.5,2,129,0.06216867469879518
2,2,0.05746209098164405,0,0.5,2,98,0.047228915662650604
3,3,0.06264964086193137,0,0.5,2,138,0.06650602409638554
4,4,0.06225059856344772,0,0.5,2,100,0.04819277108433735
5,5,0.06424581005586592,0,0.5,2,120,0.05783132530120482
6,6,0.06544293695131684,0,0.5,2,140,0.06746987951807229
7,7,0.057063048683160415,0,0.5,2,143,0.06891566265060241
8,8,0.060654429369513166,0,0.5,2,128,0.061686746987951804
9,9,0.060654429369513166,0,0.5,2,142,0.06843373493975903
10,10,0.05905826017557861,0,0.5,2,141,0.06795180722891567
11,11,0.06025538707102953,0,0.5,2,126,0.060722891566265064
12,12,0.036312849162011177,0,0.5,2,73,0.03518072289156626
13,13,0.057063048683160415,0,0.5,2,109,0.05253012048192771
14,14,0.05865921787709497,0,0.5,2,132,0.0636144578313253
15,15,0.06225059856344772,0,0.5,2,100,0.04819277108433735
16,16,0.05905826017557861,0,0.5,2,117,0.056385542168674696
0,0,0.05865921787709497,0,0.5,1.75,139,0.06698795180722891
1,1,0.05826017557861133,0,0.5,1.75,129,0.06216867469879518
2,2,0.05746209098164405,0,0.5,1.75,98,0.047228915662650604
3,3,0.06264964086193137,0,0.5,1.75,138,0.06650602409638554
4,4,0.06225059856344772,0,0.5,1.75,100,0.04819277108433735
5,5,0.06424581005586592,0,0.5,1.75,120,0.05783132530120482
6,6,0.06544293695131684,0,0.5,1.75,140,0.06746987951807229
7,7,0.057063048683160415,0,0.5,1.75,143,0.06891566265060241
8,8,0.060654429369513166,0,0.5,1.75,128,0.061686746987951804
9,9,0.060654429369513166,0,0.5,1.75,142,0.06843373493975903
10,10,0.05905826017557861,0,0.5,1.75,141,0.06795180722891567
11,11,0.06025538707102953,0,0.5,1.75,126,0.060722891566265064
12,12,0.036312849162011177,0,0.5,1.75,73,0.03518072289156626
13,13,0.057063048683160415,0,0.5,1.75,109,0.05253012048192771
14,14,0.05865921787709497,0,0.5,1.75,132,0.0636144578313253
15,15,0.06225059856344772,0,0.5,1.75,100,0.04819277108433735
16,16,0.05905826017557861,0,0.5,1.75,117,0.056385542168674696
0,0,0.05865921787709497,0.45,0,10,148,0.06281833616298811
1,1,0.05826017557861133,0.45,0,10,153,0.06494057724957555
2,2,0.05746209098164405,0.45,0,10,122,0.05178268251273345
3,3,0.06264964086193137,0.45,0,10,173,0.0734295415959253
4,4,0.06225059856344772,0.45,0,10,118,0.0500848896434635
5,5,0.06424581005586592,0.45,0,10,145,0.06154499151103565
6,6,0.06544293695131684,0.45,0,10,166,0.07045840407470289
7,7,0.057063048683160415,0.45,0,10,149,0.0632427843803056
8,8,0.060654429369513166,0.45,0,10,140,0.059422750424448216
9,9,0.060654429369513166,0.45,0,10,153,0.06494057724957555
10,10,0.05905826017557861,0.45,0,10,145,0.06154499151103565
11,11,0.06025538707102953,0.45,0,10,137,0.058149405772495756
12,12,0.036312849162011177,0.45,0,10,78,0.03310696095076401
13,13,0.057063048683160415,0.45,0,10,128,0.05432937181663837
14,14,0.05865921787709497,0.45,0,10,149,0.0632427843803056
15,15,0.06225059856344772,0.45,0,10,127,0.053904923599320885
16,16,0.05905826017557861,0.45,0,10,125,0.05305602716468591
0,0,0.05865921787709497,0.45,0,2,148,0.06281833616298811
1,1,0.05826017557861133,0.45,0,2,153,0.06494057724957555
2,2,0.05746209098164405,0.45,0,2,122,0.05178268251273345
3,3,0.06264964086193137,0.45,0,2,173,0.0734295415959253
4,4,0.06225059856344772,0.45,0,2,118,0.0500848896434635
5,5,0.06424581005586592,0.45,0,2,145,0.06154499151103565
6,6,0.06544293695131684,0.45,0,2,166,0.07045840407470289
7,7,0.057063048683160415,0.45,0,2,149,0.0632427843803056
8,8,0.060654429369513166,0.45,0,2,140,0.059422750424448216
9,9,0.060654429369513166,0.45,0,2,153,0.06494057724957555
10,10,0.05905826017557861,0.45,0,2,145,0.06154499151103565
11,11,0.06025538707102953,0.45,0,2,137,0.058149405772495756
12,12,0.036312849162011177,0.45,0,2,78,0.03310696095076401
13,13,0.057063048683160415,0.45,0,2,128,0.05432937181663837
14,14,0.05865921787709497,0.45,0,2,149,0.0632427843803056
15,15,0.06225059856344772,0.45,0,2,127,0.053904923599320885
16,16,0.05905826017557861,0.45,0,2,125,0.05305602716468591
0,0,0.05865921787709497,0.45,0,1.75,145,0.062071917808219176
1,1,0.05826017557861133,0.45,0,1.75,152,0.06506849315068493
2,2,0.05746209098164405,0.45,0,1.75,121,0.05179794520547945
3,3,0.06264964086193137,0.45,0,1.75,172,0.07363013698630137
4,4,0.06225059856344772,0.45,0,1.75,116,0.04965753424657534
5,5,0.06424581005586592,0.45,0,1.75,143,0.061215753424657536
6,6,0.06544293695131684,0.45,0,1.75,165,0.07063356164383562
7,7,0.057063048683160415,0.45,0,1.75,149,0.06378424657534247
8,8,0.060654429369513166,0.45,0,1.75,139,0.05950342465753425
9,9,0.060654429369513166,0.45,0,1.75,153,0.06549657534246575
10,10,0.05905826017557861,0.45,0,1.75,144,0.06164383561643835
11,11,0.06025538707102953,0.45,0,1.75,136,0.05821917808219178
12,12,0.036312849162011177,0.45,0,1.75,77,0.03296232876712329
13,13,0.057063048683160415,0.45,0,1.75,127,0.054366438356164386
14,14,0.05865921787709497,0.45,0,1.75,147,0.06292808219178082
15,15,0.06225059856344772,0.45,0,1.75,126,0.05393835616438356
16,16,0.05905826017557861,0.45,0,1.75,124,0.053082191780821915
0,0,0.05865921787709497,0.45,0.2,10,148,0.06437581557198782
1,1,0.05826017557861133,0.45,0.2,10,149,0.06481078729882557
2,2,0.05746209098164405,0.45,0.2,10,118,0.05132666376685516
3,3,0.06264964086193137,0.45,0.2,10,161,0.07003044802087864
4,4,0.06225059856344772,0.45,0.2,10,113,0.04915180513266638
5,5,0.06424581005586592,0.45,0.2,10,143,0.06220095693779904
6,6,0.06544293695131684,0.45,0.2,10,159,0.06916050456720313
7,7,0.057063048683160415,0.45,0.2,10,149,0.06481078729882557
8,8,0.060654429369513166,0.45,0.2,10,138,0.06002609830361026
9,9,0.060654429369513166,0.45,0.2,10,151,0.06568073075250108
10,10,0.05905826017557861,0.45,0.2,10,145,0.06307090039147456
11,11,0.06025538707102953,0.45,0.2,10,137,0.05959112657677251
12,12,0.036312849162011177,0.45,0.2,10,77,0.03349282296650718
13,13,0.057063048683160415,0.45,0.2,10,122,0.053066550674206174
14,14,0.05865921787709497,0.45,0.2,10,146,0.06350587211831231
15,15,0.06225059856344772,0.45,0.2,10,121,0.05263157894736842
16,16,0.05905826017557861,0.45,0.2,10,122,0.053066550674206174
0,0,0.05865921787709497,0.45,0.2,2,148,0.06437581557198782
1,1,0.05826017557861133,0.45,0.2,2,149,0.06481078729882557
2,2,0.05746209098164405,0.45,0.2,2,118,0.05132666376685516
3,3,0.06264964086193137,0.45,0.2,2,161,0.07003044802087864
4,4,0.06225059856344772,0.45,0.2,2,113,0.04915180513266638
5,5,0.06424581005586592,0.45,0.2,2,143,0.06220095693779904
6,6,0.06544293695131684,0.45,0.2,2,159,0.06916050456720313
7,7,0.057063048683160415,0.45,0.2,2,149,0.06481078729882557
8,8,0.060654429369513166,0.45,0.2,2,138,0.06002609830361026
9,9,0.060654429369513166,0.45,0.2,2,151,0.06568073075250108
10,10,0.05905826017557861,0.45,0.2,2,145,0.06307090039147456
11,11,0.06025538707102953,0.45,0.2,2,137,0.05959112657677251
12,12,0.036312849162011177,0.45,0.2,2,77,0.03349282296650718
13,13,0.057063048683160415,0.45,0.2,2,122,0.053066550674206174
14,14,0.05865921787709497,0.45,0.2,2,146,0.06350587211831231
15,15,0.06225059856344772,0.45,0.2,2,121,0.05263157894736842
16,16,0.05905826017557861,0.45,0.2,2,122,0.053066550674206174
0,0,0.05865921787709497,0.45,0.2,1.75,145,0.06362439666520403
1,1,0.05826017557861133,0.45,0.2,1.75,148,0.06494076349275998
2,2,0.05746209098164405,0.45,0.2,1.75,117,0.051338306274681875
3,3,0.06264964086193137,0.45,0.2,1.75,160,0.07020623080298377
4,4,0.06225059856344772,0.45,0.2,1.75,111,0.04870557261956999
5,5,0.06424581005586592,0.45,0.2,1.75,141,0.06186924089512944
6,6,0.06544293695131684,0.45,0.2,1.75,158,0.06932865291794647
7,7,0.057063048683160415,0.45,0.2,1.75,149,0.06537955243527863
8,8,0.060654429369513166,0.45,0.2,1.75,137,0.060114085125054846
9,9,0.060654429369513166,0.45,0.2,1.75,151,0.06625713032031592
10,10,0.05905826017557861,0.45,0.2,1.75,144,0.06318560772268539
11,11,0.06025538707102953,0.45,0.2,1.75,136,0.0596752961825362
12,12,0.036312849162011177,0.45,0.2,1.75,76,0.03334795963141729
13,13,0.057063048683160415,0.45,0.2,1.75,121,0.05309346204475647
14,14,0.05865921787709497,0.45,0.2,1.75,144,0.06318560772268539
15,15,0.06225059856344772,0.45,0.2,1.75,120,0.05265467310223782
16,16,0.05905826017557861,0.45,0.2,1.75,121,0.05309346204475647
0,0,0.05865921787709497,0.45,0.3,10,145,0.06496415770609319
1,1,0.05826017557861133,0.45,0.3,10,144,0.06451612903225806
2,2,0.05746209098164405,0.45,0.3,10,108,0.04838709677419355
3,3,0.06264964086193137,0.45,0.3,10,157,0.07034050179211469
4,4,0.06225059856344772,0.45,0.3,10,108,0.04838709677419355
5,5,0.06424581005586592,0.45,0.3,10,133,0.059587813620071685
6,6,0.06544293695131684,0.45,0.3,10,151,0.06765232974910394
7,7,0.057063048683160415,0.45,0.3,10,148,0.06630824372759857
8,8,0.060654429369513166,0.45,0.3,10,135,0.06048387096774194
9,9,0.060654429369513166,0.45,0.3,10,148,0.06630824372759857
10,10,0.05905826017557861,0.45,0.3,10,145,0.06496415770609319
11,11,0.06025538707102953,0.45,0.3,10,136,0.06093189964157706
12,12,0.036312849162011177,0.45,0.3,10,76,0.034050179211469536
13,13,0.057063048683160415,0.45,0.3,10,119,0.053315412186379925
14,14,0.05865921787709497,0.45,0.3,10,143,0.06406810035842293
15,15,0.06225059856344772,0.45,0.3,10,115,0.05152329749103943
16,16,0.05905826017557861,0.45,0.3,10,121,0.05421146953405018
0,0,0.05865921787709497,0.45,0.3,2,145,0.06496415770609319
1,1,0.05826017557861133,0.45,0.3,2,144,0.06451612903225806
2,2,0.05746209098164405,0.45,0.3,2,108,0.04838709677419355
3,3,0.06264964086193137,0.45,0.3,2,157,0.07034050179211469
4,4,0.06225059856344772,0.45,0.3,2,108,0.04838709677419355
5,5,0.06424581005586592,0.45,0.3,2,133,0.059587813620071685
6,6,0.06544293695131684,0.45,0.3,2,151,0.06765232974910394
7,7,0.057063048683160415,0.45,0.3,2,148,0.06630824372759857
8,8,0.060654429369513166,0.45,0.3,2,135,0.06048387096774194
9,9,0.060654429369513166,0.45,0.3,2,148,0.06630824372759857
10,10,0.05905826017557861,0.45,0.3,2,145,0.06496415770609319
11,11,0.06025538707102953,0.45,0.3,2,136,0.06093189964157706
12,12,0.036312849162011177,0.45,0.3,2,76,0.034050179211469536
13,13,0.057063048683160415,0.45,0.3,2,119,0.053315412186379925
14,14,0.05865921787709497,0.45,0.3,2,143,0.06406810035842293
15,15,0.06225059856344772,0.45,0.3,2,115,0.05152329749103943
16,16,0.05905826017557861,0.45,0.3,2,121,0.05421146953405018
0,0,0.05865921787709497,0.45,0.3,1.75,143,0.06450157870996842
1,1,0.05826017557861133,0.45,0.3,1.75,144,0.06495263870094722
2,2,0.05746209098164405,0.45,0.3,1.75,107,0.04826341903473162
3,3,0.06264964086193137,0.45,0.3,1.75,156,0.07036535859269283
4,4,0.06225059856344772,0.45,0.3,1.75,108,0.04871447902571042
5,5,0.06424581005586592,0.45,0.3,1.75,132,0.05953991880920163
6,6,0.06544293695131684,0.45,0.3,1.75,150,0.06765899864682003
7,7,0.057063048683160415,0.45,0.3,1.75,148,0.06675687866486242
8,8,0.060654429369513166,0.45,0.3,1.75,134,0.060442038791159225
9,9,0.060654429369513166,0.45,0.3,1.75,148,0.06675687866486242
10,10,0.05905826017557861,0.45,0.3,1.75,144,0.06495263870094722
11,11,0.06025538707102953,0.45,0.3,1.75,135,0.06089309878213803
12,12,0.036312849162011177,0.45,0.3,1.75,75,0.03382949932341001
13,13,0.057063048683160415,0.45,0.3,1.75,118,0.053225078935498424
14,14,0.05865921787709497,0.45,0.3,1.75,141,0.06359945872801083
15,15,0.06225059856344772,0.45,0.3,1.75,114,0.05142083897158322
16,16,0.05905826017557861,0.45,0.3,1.75,120,0.05412719891745602
0,0,0.05865921787709497,0.45,0.4,10,142,0.06604651162790698
1,1,0.05826017557861133,0.45,0.4,10,137,0.06372093023255813
2,2,0.05746209098164405,0.45,0.4,10,104,0.04837209302325581
3,3,0.06264964086193137,0.45,0.4,10,146,0.06790697674418604
4,4,0.06225059856344772,0.45,0.4,10,105,0.04883720930232558
5,5,0.06424581005586592,0.45,0.4,10,124,0.05767441860465116
6,6,0.06544293695131684,0.45,0.4,10,146,0.06790697674418604
7,7,0.057063048683160415,0.45,0.4,10,146,0.06790697674418604
8,8,0.060654429369513166,0.45,0.4,10,131,0.060930232558139535
9,9,0.060654429369513166,0.45,0.4,10,144,0.06697674418604652
10,10,0.05905826017557861,0.45,0.4,10,143,0.06651162790697675
11,11,0.06025538707102953,0.45,0.4,10,132,0.061395348837209304
12,12,0.036312849162011177,0.45,0.4,10,74,0.03441860465116279
